rank_brand,brand,num_products_x,total_ratings,brand_weighted_score,simple_mean_product_rating,num_products_y,min_price,max_price,avg_price,std_price
1,Ryan & Rose,1,961.0,4.877093966759416,4.9,1.0,9.99,9.99,9.99,0.0
2,PARTH iMPEX,1,616.0,4.8648608685117365,4.9,1.0,11.99,11.99,11.99,0.0
3,BeYumi,1,398.0,4.846962899669582,4.9,,,,,
4,DUMBEN,2,10121.0,4.796130144387024,4.8,2.0,12.89,12.89,12.89,0.0
5,BGTREND,1,2673.0,4.792711846488562,4.8,1.0,19.99,19.99,19.99,0.0
6,Custom 3d Stuff,1,2572.0,4.792428947370707,4.8,1.0,19.99,19.99,19.99,0.0
7,Kate Aspen,6,4879.0,4.79028474005221,4.483333333333333,2.0,18.99,26.99,20.589999999999996,3.577708763999664
8,Lenox,9,5231.0,4.789971660346957,4.811111111111111,2.0,74.9,79.99,77.44500000000001,2.7879078177012935
9,Ueerdand,4,5611.0,4.789051810331589,4.625,1.0,8.99,8.99,8.99,0.0
10,Carviell,1,1711.0,4.7886847335201495,4.8,1.0,14.97,14.97,14.97,0.0
11,KLYJI,1,1569.0,4.787679875583853,4.8,1.0,11.99,11.99,11.99,0.0
12,GEFTOL,1,1383.0,4.78605811822971,4.8,1.0,28.99,28.99,28.99,0.0
13,OARIE,1,1336.0,4.785578419515798,4.8,1.0,16.47,16.47,16.47,0.0
14,FairyLavie,2,2558.0,4.784950436255601,4.8,,,,,
15,LOKISTASHED,1,1106.0,4.782658557269877,4.8,,,,,
16,HOME SMILE,33,37039.0,4.782105807564635,4.636363636363637,15.0,9.99,15.99,13.854788732394367,1.8960936227298855
17,Child to Cherish,1,1041.0,4.781606088756845,4.8,1.0,28.99,28.99,28.99,0.0
18,M Mirage Luxury Travel,5,2351.0,4.781604804542138,4.5600000000000005,4.0,25.0,189.0,68.37142857142857,24.431279028286323
19,TAWBURY,11,1446.0,4.779678483236022,4.727272727272728,4.0,149.0,209.0,174.71428571428572,22.25394561056747
20,Maywiyi,1,158.0,4.77925596307756,4.9,,,,,
21,Cheopz,3,1917.0,4.778983160268926,4.866666666666666,3.0,16.99,3999.99,1344.6566666666665,2299.5861221822793
22,kotoyas,1,808.0,4.776491791239357,4.8,1.0,11.99,11.99,11.99,0.0
23,BalleBEeautiful,1,769.0,4.775344331737899,4.8,1.0,10.99,10.99,10.99,0.0
24,D.Jacware,1,767.0,4.77528246055029,4.8,1.0,11.99,11.99,11.99,0.0
25,Makuzo,1,760.0,4.775063444377951,4.8,1.0,27.99,27.99,27.99,0.0
26,Studio 10,3,2325.0,4.773957572129095,4.833333333333333,3.0,9.18,19.99,14.386666666666665,5.4159055875572015
27,Personalization Lab,2,908.0,4.773510403271581,4.85,2.0,19.95,29.95,21.2,3.5355339059327378
28,Yleena,7,4148.0,4.772367495250999,4.771428571428571,7.0,10.69,39.99,19.20285714285714,10.052304402947804
29,GVIZNO,1,636.0,4.770420602190062,4.8,1.0,23.99,23.99,23.99,0.0
30,PUDDING CABIN,34,18805.0,4.767848073317963,4.523529411764706,10.0,4.99,16.99,11.924065934065933,3.675148365265748
31,JS NOVA JUNS,5,9561.0,4.76778443478061,4.68,4.0,16.99,34.98,29.23642857142857,5.91152929210611
32,Stratton,8,19030.0,4.767132357449758,4.6375,6.0,25.99,81.99,61.95428571428571,24.532697502583087
33,ElegantPark,3,1377.0,4.765906661566446,4.333333333333333,1.0,16.99,16.99,16.99,0.0
