rank,manufacturer,num_products,total_ratings,manufacturer_weighted_score,simple_mean_product_rating
1,dogtags4less - Cyber Zone,1,1069.0,4.8788549180148015,4.9
2,PARTH IMPEX,1,616.0,4.864027174765119,4.9
3,DISNEY,3,417.0,4.812420613992327,4.766666666666667
4,Apotie factory,1,223.0,4.808148438333069,4.9
5,TAWBURY,8,1271.0,4.804901236999677,4.8
6,Yiama,1,8917.0,4.797737962992988,4.8
7,Groundspeak,1,192.0,4.79532231936156,4.9
8,JD Jewelry,1,3955.0,4.79492134376368,4.8
9,shining image,2,4089.0,4.792887003523035,4.8
10,BGTREND,1,2673.0,4.792512598926477,4.8
11,HAUTEROW,1,2341.0,4.791464173301673,4.8
12,M MIRAGE LUXURY TRAVEL,1,2300.0,4.791313972059341,4.8
13,"H&D Crystal Manufacture CO., LTD.",1,2152.0,4.790724818926795,4.8
14,Kate Aspen,6,4879.0,4.790042131927551,4.483333333333333
15,"M&F Western Products, Inc.",1,1917.0,4.789605318386372,4.8
16,QY,2,2131.0,4.7890436224647335,4.449999999999999
17,Ueerdand,4,5611.0,4.788744176079282,4.6
18,Trinket Trays,2,2474.0,4.7885850206890535,4.65
19,Jewelry Holder Dish,1,1733.0,4.788520450878199,4.8
20,TopLAD,1,1672.0,4.788109021679357,4.8
21,Stratton,3,4960.0,4.7872046398527255,4.566666666666666
22,Kerwinicole,1,1468.0,4.786489689518201,4.8
23,RELISSA,2,2646.0,4.786471833561963,4.65
24,Capitol,1,1444.0,4.786269711599909,4.8
25,GEFTOL,1,1383.0,4.785676967373154,4.8
26,OARIE,1,1336.0,4.785184154391117,4.8
27,Zhouyang,1,1280.0,4.784550805265852,4.8
28,FairyLavie,1,1279.0,4.7845390029780495,4.8
29,Out of Print,3,994.0,4.784241231758685,4.633333333333334
30,SWEET WATER DECOR,1,1162.0,4.783021438673042,4.8
31,LokiStashed,1,1106.0,4.782184467340023,4.8
32,YOUFENG urn necklaces for ashes,1,1024.0,4.780798439182416,4.8
33,Lenox,18,4889.0,4.779043174315417,4.633333333333334
34,HOYSM,1,856.0,4.777157511171858,4.8
35,simboom,1,845.0,4.776870348455161,4.8
36,Maywiyi,1,158.0,4.7763912494588645,4.9
37,kotoyas club,1,808.0,4.77584911085712,4.8
38,Saphir Medaille D'Or,5,3342.0,4.775834512923412,4.26
39,Yima,22,21389.0,4.775307480838811,4.704545454545454
40,Glenor Co,17,18659.0,4.774949136044786,4.752941176470588
41,FoamZone 150 Shoe Cleaner,1,769.0,4.774670281474676,4.8
42,M F,1,767.0,4.7746067188184025,4.8
43,Makuzo,1,760.0,4.7743817150610965,4.8
44,Huberd Shoe Grease Company,1,726.0,4.773229569971251,4.8
45,Yleena,6,3637.0,4.772885479881864,4.766666666666667
46,"P Lab, Inc.",2,908.0,4.7727773303697925,4.85
47,STARATION,6,1124.0,4.772768624238302,3.9
48,JUNS,4,9351.0,4.7726175851024575,4.7
49,OrthoStep,1,707.0,4.772539423199818,4.8
50,ELEGANTPARK,2,1364.0,4.771388326582697,4.449999999999999
51,Nayo The Corgi,1,670.0,4.771087935568952,4.8
52,GVIZNO,1,636.0,4.769611944291691,4.8
53,Apex Imports,6,576.0,4.769167658704168,4.566666666666666
54,HSAS Creations,1,620.0,4.768863930612717,4.8
55,Eastyle,27,18043.0,4.767896548517007,4.62962962962963
56,Omgouue,3,1669.0,4.766611202400702,4.733333333333333
57,Goporcelain,1,572.0,4.766381320429014,4.8
58,LEVONTA,2,775.0,4.765248017655546,4.85
59,OYLZ,5,2250.0,4.7650465596009735,4.74
60,ku-dayi,1,543.0,4.764679851480395,4.8
61,belaDESIGN,1,531.0,4.763924340282115,4.8
62,Tijeyi,1,516.0,4.762933250729425,4.8
63,Crocs,117,117861.0,4.7628162706664305,4.693162393162393
64,MUERDOU urn necklace,1,501.0,4.761886167416697,4.8
65,NEX,13,17221.0,4.760455578055079,4.569230769230769
66,Exembe,4,815.0,4.75980105499713,4.8
67,Intercession™,2,929.0,4.759743905390483,4.8
68,ALAMHI,1,462.0,4.758864948980215,4.8
69,Zofly,1,458.0,4.758527776430874,4.8
70,soclim,1,134.0,4.758302164013819,4.9
71,Selling Wonderful,1,451.0,4.757924230557727,4.8
72,Nani?Wear,1,451.0,4.757924230557727,4.8
73,Pterosauria,1,449.0,4.757748548848155,4.8
74,ABUN Fits Pandora Bracelet Charms,2,986.0,4.757289719412017,4.6
75,constantlife,1,440.0,4.75693947850695,4.8
76,TGML,1,418.0,4.754824899326487,4.8
77,AREOK,6,3646.0,4.754526757673465,4.766666666666667
78,WEIXUAN,1,394.0,4.752267818156288,4.8
79,HOME SMILE,1,394.0,4.752267818156288,4.8
80,RUIMIC,3,1765.0,4.751324095159015,4.7
